suite,condition_id,retriever,max_steps,process_feedback,quality_reweight,judge_mode,qa_count,success,judge_score,retrieval_precision,hallucination_rate,lexical_f1,exact_match,reference_episode_recall,trajectory_length,elapsed_seconds,cost_usd
main,main__embedding__steps4__judge0__quality1__modenone,embedding,4,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.319558223088583,0.0
main,main__embedding__steps4__judge1__quality0__modeprocess,embedding,4,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.269150336583456,0.0
main,main__embedding__steps4__judge1__quality1__modeprocess,embedding,4,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.29330293337504,0.0
main,main__grep__steps2__judge0__quality0__modenone,grep,2,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.227891445159912,0.0
main,main__grep__steps2__judge0__quality1__modenone,grep,2,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.262518167495728,0.0
main,main__grep__steps2__judge1__quality0__modeprocess,grep,2,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.358289957046509,0.0
main,main__grep__steps2__judge1__quality1__modeprocess,grep,2,True,True,process,3,0.0,1.0,0.0,1.0,0.10319350308359283,0.0,0.0,1.0,9.84188445409139,1.1000000000000001e-05
main,main__grep__steps3__judge0__quality0__modenone,grep,3,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.270311117172241,0.0
main,main__grep__steps3__judge0__quality1__modenone,grep,3,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.29236880938212,0.0
main,main__grep__steps3__judge1__quality0__modeprocess,grep,3,True,False,process,3,0.0,1.0,0.0,1.0,0.1078167115902965,0.0,0.0,1.0,9.245134830474854,1.0566666666666667e-05
main,main__grep__steps3__judge1__quality1__modeprocess,grep,3,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.28250503540039,0.0
main,main__grep__steps4__judge0__quality0__modenone,grep,4,False,False,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.30966599782308,0.0
main,main__grep__steps4__judge0__quality1__modenone,grep,4,False,True,none,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.369837919871012,0.0
main,main__grep__steps4__judge1__quality0__modeprocess,grep,4,True,False,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.294463316599527,0.0
main,main__grep__steps4__judge1__quality1__modeprocess,grep,4,True,True,process,3,0.0,1.0,0.0,1.0,0.012578616352201257,0.0,0.0,1.0,9.35725506146749,0.0
